Account Name,nsbi_sector,New Georeferenced Column,NSBI Financial Contribution (Commitment/Announced),Place Name,nsbi_county,PostalCode,fiscal year,Longitude,Latitude
Northern Business Intelligence,ICT (includes Digital Media),POINT (-63.59236 44.70609),"10,850",Dartmouth,Halifax Regional Municipality,B3B1T4,2018 - 2019,-63.59236,44.70609
Fourth State Energy Incorporated,Energy,POINT (-63.632286 44.654755),"3,750",Halifax,Halifax Regional Municipality,B3J2L4,2018 - 2019,-63.632286,44.654755
Skinfix Inc,Advanced Manufacturing,POINT (-63.570552 44.645084),"8,100",Halifax,Halifax Regional Municipality,B3J1R9,2018 - 2019,-63.570552,44.645084
Singolar Inc,ICT (includes Digital Media),POINT (-64.6186263 44.4261574),"15,000",Bridgewater,Lunenburg,B4V6Y1,2018 - 2019,-64.6186263,44.4261574
Truro Herbal Co.,Life Sciences,POINT (-63.298648 45.371086),"15,000",Truro,Colchester,B2N1M8,2018 - 2019,-63.298648,45.371086
SimplyCast Interactive Marketing LTD.,ICT (includes Digital Media),POINT (-63.535262 44.681461),"12,500",Dartmouth,Halifax Regional Municipality,B2W6E2,2018 - 2019,-63.535262,44.681461
En Point Inc,ICT (includes Digital Media),POINT (-63.5727 44.647395),"2,520",Halifax,Halifax Regional Municipality,B3J3M8,2018 - 2019,-63.5727,44.647395
BlueLight Analytics Inc,Life Sciences,POINT (-63.620539 44.642071),"25,000",Halifax,Halifax Regional Municipality,B3L4G4,2018 - 2019,-63.620539,44.642071
Ednaturals Bar,Agri-food,POINT (-63.610642 44.617409),"2,450",Halifax,Halifax Regional Municipality,B3P1H5,2018 - 2019,-63.610642,44.617409
Victoria Co-Operative Fisheries Ltd,Fish & Seafood Processing,POINT (-60.343878 46.762745),"15,000",Neils Harbour,Victoria,B0C1N0,2018 - 2019,-60.343878,46.762745
Focal Technologies Corporation,Oceans Technology,POINT (-63.587502 44.711855),"4,775",Dartmouth,Halifax Regional Municipality,B3B1Z4,2018 - 2019,-63.587502,44.711855
Cove Kombucha,Agri-food,POINT (-63.576924 44.640981),"8,400",Halifax,Halifax Regional Municipality,B3J2J9,2018 - 2019,-63.576924,44.640981
Dormie Golf Workshop Inc.,Advanced Manufacturing,POINT (-63.590301 44.660963),"14,950",Halifax,Halifax Regional Municipality,B3K2Y3,2018 - 2019,-63.590301,44.660963
B4Checkin Limited,ICT (includes Digital Media),POINT (-63.586911 44.640361),"19,000",Halifax,Halifax Regional Municipality,B3J3S9,2018 - 2019,-63.586911,44.640361
Barrelling Tide Distillery,Agri-food,POINT (-64.362715 45.159695),"6,875",Port Williams,Kings,B0P1T0,2018 - 2019,-64.362715,45.159695
Fundmetric Incorporated,ICT (includes Digital Media),POINT (-63.57813098 44.64335495),"7,500",Halifax,Halifax Regional Municipality,B3J3K3,2018 - 2019,-63.57813098,44.64335495
Ven-Rez Products Ltd,Advanced Manufacturing,POINT (-65.41816 43.66134),"16,832",Shelburne,Shelburne,B0T1W0,2018 - 2019,-65.41816,43.66134
Riverside Lobster International Inc,Fish & Seafood Processing,POINT (-66.258852 44.158134),"15,000",Meteghan,Digby,B0W2J0,2018 - 2019,-66.258852,44.158134
Precision BioLogic Incorporated,Life Sciences,POINT (-63.573165 44.695212),"4,750",Dartmouth,Halifax Regional Municipality,B3B0A9,2018 - 2019,-63.573165,44.695212
Duckish Natural Skin Care Limited,Advanced Manufacturing,POINT (-63.595101 44.649822),"9,375",Halifax,Halifax Regional Municipality,B3L1K1,2018 - 2019,-63.595101,44.649822
GeoNavo Positioning Systems Inc,ICT (includes Digital Media),POINT (-63.800164 44.734087),"15,000",Hammonds Plains,Halifax Regional Municipality,B4B2B8,2018 - 2019,-63.800164,44.734087
Eyeread Inc.,ICT (includes Digital Media),POINT (-63.613528 44.694128),"15,000",Dartmouth,Halifax Regional Municipality,B3B1E8,2018 - 2019,-63.613528,44.694128
WarrierTech Inc,ICT (includes Digital Media),POINT (-63.5849 44.640901),"13,336",Halifax,Halifax Regional Municipality,B3H1Y1,2018 - 2019,-63.5849,44.640901
Unleash Surf Inc.,Travel & Accommodation,POINT (-63.590597 44.655797),"5,000",Halifax,Halifax Regional Municipality,B3K3S3,2018 - 2019,-63.590597,44.655797
THE WELL - CREATIVE CONSULTANTS INC.,ICT (includes Digital Media),POINT (-63.86772 44.69243),"15,000",Upper Tantallon,Halifax Regional Municipality,B3Z4R3,2018 - 2019,-63.86772,44.69243
BMC Seafoods Ltd,Fish & Seafood Processing,POINT (-66.258852 44.158134),"3,200",Meteghan,Digby,B0W2J0,2018 - 2019,-66.258852,44.158134
Atlantic Institute for Resilience Inc.,Life Sciences,POINT (-63.585161 44.640827),"13,750",Halifax,Halifax Regional Municipality,B3H1Y4,2018 - 2019,-63.585161,44.640827
Cribcut,ICT (includes Digital Media),POINT (-63.57614729 44.65208895),"7,500",Halifax,Halifax Regional Municipality,B3J3R7,2018 - 2019,-63.57614729,44.65208895
Sealand Building Group Inc,Advanced Manufacturing,POINT (-63.741086 44.724533),"22,500",Halifax,Halifax Regional Municipality,B4B1G2,2018 - 2019,-63.741086,44.724533
Keeping Roads Safe Technologies Inc,ICT (includes Digital Media),POINT (-63.710231 44.722456),"2,850",Bedford,Halifax Regional Municipality,B4B1H1,2018 - 2019,-63.710231,44.722456
Tony's Meats Ltd,Agri-food,POINT (-61.944846 45.654903),"5,980",Antigonish,Antigonish,B2G2L2,2018 - 2019,-61.944846,45.654903
Stark International Inc,Energy,POINT (-62.6438518 45.58895964),"7,500",New Glasgow,Pictou,B2H2T3,2018 - 2019,-62.6438518,45.58895964
Made with Local Snack Foods Inc.,Agri-food,POINT (-63.568797 44.669949),"15,750",Dartmouth,Halifax Regional Municipality,B2Y2V9,2018 - 2019,-63.568797,44.669949
BioMedica Diagnostics Inc,Life Sciences,POINT (-64.318054 44.819594),"13,500",Windsor,Hants,B0N2T0,2018 - 2019,-64.318054,44.819594
InterTalk Critical Information Systems Inc,ICT (includes Digital Media),POINT (-63.611144 44.704132),"14,850",Dartmouth,Halifax Regional Municipality,B3B1J4,2018 - 2019,-63.611144,44.704132
Bend Beauty Inc.,Life Sciences,POINT (-63.577291 44.639639),"10,000",Halifax,Halifax Regional Municipality,B3J1C7,2018 - 2019,-63.577291,44.639639
Hanatech IOT Inc.,ICT (includes Digital Media),POINT (-63.655971 44.733116),"15,000",Bedford,Halifax Regional Municipality,B4A1E8,2018 - 2019,-63.655971,44.733116
Chocolate Hackers,Agri-food,POINT (-63.604915 44.665088),375,Halifax,Halifax Regional Municipality,B3K2H7,2018 - 2019,-63.604915,44.665088
Terra Beata,Agri-food,POINT (-64.309889 44.37635),"5,500",Bridgewater,Lunenburg,B0J2C0,2018 - 2019,-64.309889,44.37635
DBR Resources LTD.,Business Services,POINT (-63.598026 44.785742),"7,469",Waverley,Halifax Regional Municipality,B2R1T3,2018 - 2019,-63.598026,44.785742
Grey Lit Matters Inc,ICT (includes Digital Media),POINT (-63.608219 44.630968),"7,560",Halifax,Halifax Regional Municipality,B3P1A8,2018 - 2019,-63.608219,44.630968
DynaGen Technologies Incorporated,Advanced Manufacturing,POINT (-63.579683 44.70058),"14,775",Dartmouth,Halifax Regional Municipality,B3B1W8,2018 - 2019,-63.579683,44.70058
Classic Fine Foods,Agri-food,POINT (-60.22160264 46.15678026),"4,597",Edwardsville,Cape Breton,B2A4S6,2018 - 2019,-60.22160264,46.15678026
Spark Engagement Inc,Business Services,POINT (-61.944846 45.654903),"15,000",Antigonish,Antigonish,B2G2L2,2018 - 2019,-61.944846,45.654903
Marcato Digital Solutions Inc,ICT (includes Digital Media),POINT (-60.224927 46.083533),"9,975",Sydney,Cape Breton,B1P6J1,2018 - 2019,-60.224927,46.083533
EfficiencyOne Services Inc,Business Services,POINT (-63.605171 44.69816),"2,875",Dartmouth,Halifax Regional Municipality,B3B1G5,2018 - 2019,-63.605171,44.69816
3231974 NOVA SCOTIA LIMITED o/a Do Lobster,Fish & Seafood Processing,POINT (-63.494322 44.612474),"7,250",Eastern Passage,Halifax Regional Municipality,B3G1M4,2018 - 2019,-63.494322,44.612474
Bereda Training Inc.,ICT (includes Digital Media),POINT (-63.572554 44.644489),"15,000",Halifax,Halifax Regional Municipality,B3J3K5,2018 - 2019,-63.572554,44.644489
Iris Booth Incorporated,Business Services,POINT (-63.581653 44.651755),"8,000",Halifax,Halifax Regional Municipality,B3K2Z8,2018 - 2019,-63.581653,44.651755
Densitas Inc,ICT (includes Digital Media),POINT (-63.59645 44.637136),"15,000",Halifax,Halifax Regional Municipality,B3H3Z1,2018 - 2019,-63.59645,44.637136
Atlantic Sea Cucumber Ltd,Fish & Seafood Processing,POINT (-63.757708 44.662435),"15,000",Hacketts Cove,Halifax Regional Municipality,B3Z3K7,2018 - 2019,-63.757708,44.662435
Rx Security Inc.,Advanced Manufacturing,POINT (-63.646705 44.737949),"15,000",Bedford,Halifax Regional Municipality,B4A2T3,2018 - 2019,-63.646705,44.737949
Tangled Garden,Agri-food,POINT (-64.285653 45.095031),"5,700",Grand Pre,Kings,B0P1M0,2018 - 2019,-64.285653,45.095031
Advanced Glazings Ltd,Advanced Manufacturing,POINT (-60.19332 46.143671),"15,000",Sydney,Cape Breton,B1P6R7,2018 - 2019,-60.19332,46.143671
Benjamin Bridge Vineyards,Agri-food,POINT (-64.403589 45.013938),"6,000",Wolfville,Kings,B4P2R1,2018 - 2019,-64.403589,45.013938
Rotofast Inc,Advanced Manufacturing,POINT (-60.183097 46.129316),"9,075",Cape Breton,Cape Breton,B1P4L8,2018 - 2019,-60.183097,46.129316
Novate Systems Inc.,Engineering & Professional,POINT (-63.61637086 44.70527104),"7,000",Dartmouth,Halifax Regional Municipality,B3B1P7,2018 - 2019,-63.61637086,44.70527104
Safety Made Easy Basic Training,Business Services,POINT (-62.655446 45.58971),"4,250",New Glasgow,Pictou,B2H2B9,2018 - 2019,-62.655446,45.58971
Allendale Electronics Ltd,Advanced Manufacturing,POINT (-65.12347 43.71839),"12,306",Lockeport,Shelburne,B0T1L0,2018 - 2019,-65.12347,43.71839
MindSea Development Incorporated,ICT (includes Digital Media),POINT (-63.5727 44.647395),"25,000",Halifax,Halifax Regional Municipality,B3J3M8,2018 - 2019,-63.5727,44.647395
Just Us! Coffee Roasters Co-op Ltd,Agri-food,POINT (-64.348807 45.068884),"2,500",Wolfville,Kings,B4P2R3,2018 - 2019,-64.348807,45.068884
Site 2020 Inc.,ICT (includes Digital Media),POINT (-63.595664 44.704755),"25,000",Dartmouth,Halifax Regional Municipality,B3B1L3,2018 - 2019,-63.595664,44.704755
Athletigen Technologies Inc,Life Sciences,POINT (-63.57539255 44.64341829),"25,000",Halifax,Halifax Regional Municipality,B3J1G1,2018 - 2019,-63.57539255,44.64341829
Spring Loaded Technology Incorporated,Life Sciences,POINT (-63.596475 44.653518),"25,000",Halifax,Halifax Regional Municipality,B3K1P5,2018 - 2019,-63.596475,44.653518
Boondoc Technologies Inc (The Rounds),ICT (includes Digital Media),POINT (-63.611268 44.662185),"8,063",Halifax,Halifax Regional Municipality,B3K4X5,2018 - 2019,-63.611268,44.662185
Dragon Veterinary Canada Limited,ICT (includes Digital Media),POINT (-63.674559 44.711731),"15,000",Bedford,Halifax Regional Municipality,B4A1H4,2018 - 2019,-63.674559,44.711731
The 7 Virtues Beauty Inc,Advanced Manufacturing,POINT (-63.574296 44.624597),"15,000",Halifax,Halifax Regional Municipality,B3H1B1,2018 - 2019,-63.574296,44.624597
902HipHop Inc.,ICT (includes Digital Media),POINT (-63.594931 44.654736),"15,000",Halifax,Halifax Regional Municipality,B3K4N7,2018 - 2019,-63.594931,44.654736
Sales Beacon,ICT (includes Digital Media),POINT (-64.710851 44.055473),"6,000",Brooklyn,Lunenburg,B0J1H0,2018 - 2019,-64.710851,44.055473
MetOcean Telematics Limited,Oceans Technology,POINT (-63.595049 44.699403),"24,750",Dartmouth,Halifax Regional Municipality,B3B1R9,2018 - 2019,-63.595049,44.699403
Peace by Chocolate Inc.,Agri-food,POINT (-61.97936724 45.62856001),"15,000",Antigonish,Antigonish,B2G2G8,2018 - 2019,-61.97936724,45.62856001
Blue Harbour Cheese Incorporated,Agri-food,POINT (-63.611255 44.665687),"3,750",Halifax,Halifax Regional Municipality,B3K4S7,2018 - 2019,-63.611255,44.665687
Novonix Battery Testing Services Inc,Energy,POINT (-63.710231 44.722456),"15,000",Bedford,Halifax Regional Municipality,B4B1H1,2018 - 2019,-63.710231,44.722456
InnovaSea Marine Systems Canada Inc DBA Vemco,ICT (includes Digital Media),POINT (-63.754376 44.700635),"15,000",Hammonds Plains,Halifax Regional Municipality,B4B1L9,2018 - 2019,-63.754376,44.700635
Current Studios Inc,ICT (includes Digital Media),POINT (-63.576767 44.64669),"8,713",Halifax,Halifax Regional Municipality,B3J3X8,2018 - 2019,-63.576767,44.64669
Live Stor Sydney Limited,Business Services,POINT (-60.23984215 46.12185596),"1,730",Sydney,Cape Breton,B1L1B8,2018 - 2019,-60.23984215,46.12185596
R&G Strategic Inc,Business Services,POINT (-63.59056367 44.64722055),"3,375",Halifax,Halifax Regional Municipality,B3K5J7,2018 - 2019,-63.59056367,44.64722055
Scope Digital Media,Film Production,POINT (-62.101446 45.551584),"1,718",Antigonish,Antigonish,B2G2K8,2018 - 2019,-62.101446,45.551584
Skye Larke Productions Limited,Film Production,POINT (-63.041939 45.747988),"5,175",River John,Pictou,B0K1N0,2018 - 2019,-63.041939,45.747988
Talem Health Analytics Inc,Life Sciences,POINT (-60.218301 46.14076562),"4,150",Sydney,Cape Breton,B1R1L8,2018 - 2019,-60.218301,46.14076562
Digital Cinema Labs Inc.,Film Production,POINT (-63.573651 44.632871),"1,600",Halifax,Halifax Regional Municipality,B3H2V1,2018 - 2019,-63.573651,44.632871
Roswall Development Incorporated,Energy,POINT (-63.66099 44.683287),"9,200",Halifax,Halifax Regional Municipality,B3M2L3,2018 - 2019,-63.66099,44.683287
EcoPilot Canada Inc.,Engineering & Professional,POINT (-63.575048 44.649083),"5,520",Halifax,Halifax Regional Municipality,B3J3L7,2018 - 2019,-63.575048,44.649083
"Accomplice Content Supply Co., Inc.",Film Production,POINT (-63.593146 44.655027),"5,418",Halifax,Halifax Regional Municipality,B3K4C6,2018 - 2019,-63.593146,44.655027
Beyond Food Inc.,Agri-food,POINT (-63.580528 44.698469),"4,717",Dartmouth,Halifax Regional Municipality,B3B1W2,2018 - 2019,-63.580528,44.698469
Chain-Yard Cider Inc,Agri-food,POINT (-63.593851 44.655519),"2,209",Halifax,Halifax Regional Municipality,B3K4C8,2018 - 2019,-63.593851,44.655519
Content Bloom Inc,ICT (includes Digital Media),POINT (-63.669301 44.724611),"2,105",Bedford,Halifax Regional Municipality,B4A1C6,2018 - 2019,-63.669301,44.724611
East Coast School of Languages (ECSL),Business Services,POINT (-63.571891 44.646015),"7,206",Halifax,Halifax Regional Municipality,B3J1V6,2018 - 2019,-63.571891,44.646015
Eli Technology,ICT (includes Digital Media),POINT (-63.573015 44.636975),"15,000",Halifax,Halifax Regional Municipality,B3H2R9,2018 - 2019,-63.573015,44.636975
Jaza Energy Inc.,Energy,POINT (-63.606168 44.655819),"15,650",Halifax,Halifax Regional Municipality,B3L1Y9,2018 - 2019,-63.606168,44.655819
Kula Partners Inc.,Business Services,POINT (-63.576767 44.64669),"1,665",Halifax,Halifax Regional Municipality,B3J3X8,2018 - 2019,-63.576767,44.64669
Lisa Young Lee Inc.,Creative Industries,POINT (-60.251151 46.208616),"3,350",North Sydney,Cape Breton,B2A2S1,2018 - 2019,-60.251151,46.208616
McFadgen's Bakery Limited,Agri-food,POINT (-59.95500857 46.20367769),507,Glace Bay,Cape Breton,B1A3V6,2018 - 2019,-59.95500857,46.20367769
Mercator Geological Services Limited,Mining & Mineral Products,POINT (-63.566451 44.666973),"2,187",Dartmouth,Halifax Regional Municipality,B2Y1G4,2018 - 2019,-63.566451,44.666973
Mobia Technology Innovations,ICT (includes Digital Media),POINT (-63.591479 44.7091),"25,000",Dartmouth,Halifax Regional Municipality,B3B0B3,2018 - 2019,-63.591479,44.7091
Pictou Twist Pictures Inc,Film Production,POINT (-63.573178 44.645217),"5,575",Halifax,Halifax Regional Municipality,B3J1J7,2018 - 2019,-63.573178,44.645217
PitchPerfect Software Inc. operating as Proposify,ICT (includes Digital Media),POINT (-63.573726 44.646512),"25,000",Halifax,Halifax Regional Municipality,B3J2A2,2018 - 2019,-63.573726,44.646512
RIMOT.IO Inc,ICT (includes Digital Media),POINT (-63.542698 44.660305),"2,533",Dartmouth,Halifax Regional Municipality,B2Y4M9,2018 - 2019,-63.542698,44.660305
Sand To Sky Productions,Film Production,POINT (-63.757708 44.662427),"3,287",Blind Bay,Halifax Regional Municipality,B3Z1M2,2018 - 2019,-63.757708,44.662427
Seafoam Lavender Company,Agri-food,POINT (-63.041939 45.747988),"1,240",River John,Pictou,B0K1N0,2018 - 2019,-63.041939,45.747988
Shift,Business Services,POINT (-63.919943 44.680846),"1,300",Head Of St Margarets Bay,Halifax Regional Municipality,B3Z1X8,2018 - 2019,-63.919943,44.680846
Steinhart Distillery Limited,Agri-food,POINT (-62.155396 45.566847),"5,550",Antigonish,Antigonish,B2G2L1,2018 - 2019,-62.155396,45.566847
Synclavier Digital Corporation Ltd.,ICT (includes Digital Media),POINT (-61.010749 45.53269),"2,382",D'Escousse,Cape Breton,B0E1K0,2018 - 2019,-61.010749,45.53269
Ultra Electronics Maritime Systems,Advanced Manufacturing,POINT (-63.545652 44.649583),"1,662",Dartmouth,Halifax Regional Municipality,B2Y4N2,2018 - 2019,-63.545652,44.649583
Waterstar Entertainment Inc.,Film Production,POINT (-63.573653 44.632873),"3,412",Halifax,Halifax Regional Municipality,B3H2V2,2018 - 2019,-63.573653,44.632873
Waycobah Contracting Incorporated,Fish & Seafood Processing,POINT (-60.965235 46.081461),"1,730",Whycocomagh,Inverness,B0E3M0,2018 - 2019,-60.965235,46.081461
Afishionado Fish Mongers Inc,Fish & Seafood Processing,POINT (-63.653467 44.723596),"6,132",Bedford,Halifax Regional Municipality,B4A4J8,2018 - 2019,-63.653467,44.723596
Bluedrop Training & Simulation Inc.,Aerospace & Defence,POINT (-63.669584 44.656068),"2,192",Halifax,Halifax Regional Municipality,B3S1N2,2018 - 2019,-63.669584,44.656068
Compass Distillers,Agri-food,POINT (-63.592367 44.654497),"1,027",Halifax,Halifax Regional Municipality,B3K4C4,2018 - 2019,-63.592367,44.654497
Muwin Estate Wines Ltd,Agri-food,POINT (-63.916747 44.706544),"4,850",New Ross,Lunenburg,B0J2M0,2018 - 2019,-63.916747,44.706544
The Soap Company of Nova Scotia Ltd,Advanced Manufacturing,POINT (-62.026841 45.193706),"1,800",Sherbrooke,Guysborough,B0J3C0,2018 - 2019,-62.026841,45.193706
Topsail Productions Ltd.,Film Production,POINT (-63.573178 44.645217),"2,500",Halifax,Halifax Regional Municipality,B3J1J7,2018 - 2019,-63.573178,44.645217
2 Crows Brewing Ltd,Agri-food,POINT (-63.578146 44.649349),"2,775",Halifax,Halifax Regional Municipality,B3J2G7,2018 - 2019,-63.578146,44.649349
Baie Run Pet Products Inc,Agri-food,POINT (-63.57606155 44.65201157),"5,212",Halifax,Halifax Regional Municipality,B3J3N2,2018 - 2019,-63.57606155,44.65201157
Cartoon Conrad Productions Inc,ICT (includes Digital Media),POINT (-63.691467 44.853799),"8,411",Beaver Bank,Halifax Regional Municipality,B4G1C5,2018 - 2019,-63.691467,44.853799
Fit First Holdings Inc.,Business Services,POINT (-63.595848 44.710189),"5,050",Dartmouth,Halifax Regional Municipality,B3B1X2,2018 - 2019,-63.595848,44.710189
Imaginal Ventures Inc.,Engineering & Professional,POINT (-63.590281 44.662753),794,Halifax,Halifax Regional Municipality,B3K5T9,2018 - 2019,-63.590281,44.662753
