GEOGRAPHY,YEAR,TOTAL CRIME SEVERITY INDEX,VIOLENT CRIME SEVERITY INDEX,NON-VIOLENT CRIME SEVERITY INDEX,YOUTH CRIME SEVERITY INDEX,YOUTH VIOLENT CRIME SEVERITY INDEX,YOUTH NON-VIOLENT CRIME SEVERITY INDEX
"Oxford County, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2011 12:00:00 AM,93,66,103,,,
"Port Hawkesbury, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2015 12:00:00 AM,,,,,,
"Windsor, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2016 12:00:00 AM,99,128,88,,,
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2012 12:00:00 AM,0,0,0,,,
"Barrington, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2015 12:00:00 AM,37,51,32,,,
"Parrsboro, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2017 12:00:00 AM,185,154,196,,,
"New Glasgow Region, Nova Scotia, municipal",12/31/2011 12:00:00 AM,105,102,106,,,
"Barrington, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2010 12:00:00 AM,58,53,60,,,
"Queens County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2010 12:00:00 AM,52,52,51,,,
"Amherst, Nova Scotia, municipal",12/31/2016 12:00:00 AM,101,78,109,,,
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2011 12:00:00 AM,0,0,0,,,
"Queens County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2015 12:00:00 AM,61,47,66,,,
"Shelburne, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2017 12:00:00 AM,43,40,44,,,
"Victoria County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2014 12:00:00 AM,120,135,114,,,
"Port of Halifax, Nova Scotia, Ports Canada Police",12/31/2014 12:00:00 AM,0,0,0,,,
"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2014 12:00:00 AM,61,52,64,,,
"Antigonish, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2014 12:00:00 AM,90,83,92,,,
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2013 12:00:00 AM,0,0,0,,,
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2017 12:00:00 AM,0,0,0,,,
"Parrsboro, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2013 12:00:00 AM,141,119,148,,,
"Eskasoni, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2014 12:00:00 AM,258,213,274,,,
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2013 12:00:00 AM,0,0,0,,,
"Antigonish, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2013 12:00:00 AM,100,127,89,,,
"Shelburne, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2013 12:00:00 AM,169,133,181,,,
"Cape Breton Region, Nova Scotia, municipal",12/31/2010 12:00:00 AM,67,58,70,,,
"Richmond County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2010 12:00:00 AM,49,61,45,,,
"Indian Brook, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2015 12:00:00 AM,307.41,320.52,302.01,,,
"Springhill, Nova Scotia, municipal",12/31/2010 12:00:00 AM,127,168,111,,,
"Kings County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2011 12:00:00 AM,73,63,76,,,
"Richmond County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2015 12:00:00 AM,50,50,49,,,
"Bridgewater, Nova Scotia, municipal",12/31/2016 12:00:00 AM,60,57,60,,,
"Guysborough County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2012 12:00:00 AM,39,28,42,,,
"Shelburne, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2015 12:00:00 AM,49,53,48,,,
"Digby, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2012 12:00:00 AM,82,63,89,,,
"Truro, Nova Scotia, municipal",12/31/2014 12:00:00 AM,115,107,117,,,
"Springhill, Nova Scotia, municipal",12/31/2013 12:00:00 AM,154,239,123,,,
Nova Scotia,12/31/2010 12:00:00 AM,84,85,83,124,115,131
"Inverness County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2015 12:00:00 AM,66,48,73,,,
"Kings County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2017 12:00:00 AM,74,72,74,,,
"Yarmouth, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2016 12:00:00 AM,44,43,45,,,
"Meteghan (Clare), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2012 12:00:00 AM,32,18,38,,,
"Port of Halifax, Nova Scotia, Ports Canada Police",12/31/2010 12:00:00 AM,0,0,0,,,
"Meteghan (Clare), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2011 12:00:00 AM,31,25,33,,,
"Enfield (East Hants), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2010 12:00:00 AM,79,113,67,,,
"Antigonish County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2015 12:00:00 AM,46,47,45,,,
"Cape Breton Region, Nova Scotia, municipal",12/31/2017 12:00:00 AM,59,66,57,,,
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2012 12:00:00 AM,0,0,0,,,
"Annapolis Royal, Nova Scotia, municipal",12/31/2017 12:00:00 AM,0,0,0,,,
"Guysborough County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2016 12:00:00 AM,49,45,50,,,
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2010 12:00:00 AM,0,0,0,,,
"Oxford County, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2014 12:00:00 AM,,,,,,
"Victoria County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2015 12:00:00 AM,78,50,88,,,
"Colchester County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2015 12:00:00 AM,48,38,52,,,
"Enfield (East Hants), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2011 12:00:00 AM,49,32,55,,,
"Parrsboro, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2011 12:00:00 AM,187,182,188,,,
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2012 12:00:00 AM,0,0,0,,,
"Guysborough County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2014 12:00:00 AM,42,51,38,,,
"Barrington, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2013 12:00:00 AM,54,51,55,,,
"Windsor, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2012 12:00:00 AM,135,124,140,,,
"Cumberland County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2011 12:00:00 AM,35,21,40,,,
"Inverness County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2012 12:00:00 AM,79,53,89,,,
"New Glasgow Region, Nova Scotia, municipal",12/31/2010 12:00:00 AM,154,158,152,,,
"Kentville, Nova Scotia, municipal",12/31/2016 12:00:00 AM,94,124,83,,,
"Shelburne, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2014 12:00:00 AM,47,58,42,,,
"Windsor, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2017 12:00:00 AM,41,44,40,,,
"Annapolis Royal, Nova Scotia, municipal",12/31/2013 12:00:00 AM,0,0,0,,,
"Cumberland County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2012 12:00:00 AM,46,36,50,,,
"Millbrook, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2014 12:00:00 AM,0,0,0,,,
"Barrington, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2014 12:00:00 AM,42,46,41,,,
"Pictou County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2014 12:00:00 AM,45,40,46,,,
"Meteghan (Clare), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2010 12:00:00 AM,32,30,32,,,
"Yarmouth, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2012 12:00:00 AM,135,171,122,,,
"Lunenburg County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2014 12:00:00 AM,54,49,56,,,
"Indian Brook, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2013 12:00:00 AM,493.2,616.15,447.44,,,
"Port Hawkesbury, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2011 12:00:00 AM,96,158,73,,,
"Millbrook, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2015 12:00:00 AM,0,0,0,,,
"Eskasoni, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2017 12:00:00 AM,228,240,224,,,
"Port Hawkesbury, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2013 12:00:00 AM,,,,,,
"Enfield (East Hants), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2015 12:00:00 AM,54,58,52,,,
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2013 12:00:00 AM,68,84,62,,,
"Amherst, Nova Scotia, municipal",12/31/2014 12:00:00 AM,91,102,87,,,
"Truro, Nova Scotia, municipal",12/31/2012 12:00:00 AM,113,93,120,,,
"Canadian National Railway Police, Nova Scotia",12/31/2014 12:00:00 AM,0,0,0,,,
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2015 12:00:00 AM,64,82,57,,,
"Stellarton, Nova Scotia, municipal",12/31/2011 12:00:00 AM,74,89,68,,,
"Windsor, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2012 12:00:00 AM,52,47,54,,,
"Windsor, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2017 12:00:00 AM,92,125,80,,,
"Yarmouth, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2010 12:00:00 AM,44,30,50,,,
"Port of Halifax, Nova Scotia, Ports Canada Police",12/31/2011 12:00:00 AM,0,0,0,,,
"Digby, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2013 12:00:00 AM,78,47,89,,,
"Windsor, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2011 12:00:00 AM,125,93,137,,,
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2014 12:00:00 AM,66,74,63,,,
"Victoria County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2013 12:00:00 AM,116,133,110,,,
"Lunenburg County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2015 12:00:00 AM,52,36,57,,,
"Trenton, Nova Scotia, municipal",12/31/2012 12:00:00 AM,,,,,,
"Eskasoni, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2013 12:00:00 AM,310,324,305,,,
"Shelburne, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2016 12:00:00 AM,158,219,136,,,
"Shelburne, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2015 12:00:00 AM,106,120,101,,,
"Richmond County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2011 12:00:00 AM,50,45,51,,,
"Yarmouth, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2015 12:00:00 AM,156,184,145,,,
"Antigonish County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2014 12:00:00 AM,41,41,42,,,
"Parrsboro, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2015 12:00:00 AM,99,128,88,,,
"Digby, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2013 12:00:00 AM,,,,,,
Nova Scotia,12/31/2015 12:00:00 AM,63,70,60,72,68,74
"Indian Brook, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2014 12:00:00 AM,352.11,540.68,282.77,,,
"Barrington, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2017 12:00:00 AM,50,61,46,,,
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2016 12:00:00 AM,0,0,0,,,
"Truro, Nova Scotia, municipal",12/31/2016 12:00:00 AM,100,96,101,,,
"Trenton, Nova Scotia, municipal",12/31/2010 12:00:00 AM,28,56,17,,,
"New Glasgow Region, Nova Scotia, municipal",12/31/2015 12:00:00 AM,85,108,76,,,
"Oxford County, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2016 12:00:00 AM,,,,,,
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2016 12:00:00 AM,62,80,55,,,
"Meteghan (Clare), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2014 12:00:00 AM,39,27,44,,,
"Trenton, Nova Scotia, municipal",12/31/2014 12:00:00 AM,,,,,,
"Pictou, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2015 12:00:00 AM,65,87,56,,,
"Yarmouth, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2015 12:00:00 AM,52,75,44,,,
"Digby, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2016 12:00:00 AM,88,123,75,,,
"Bridgewater, Nova Scotia, municipal",12/31/2012 12:00:00 AM,86,86,85,,,
"Port of Halifax, Nova Scotia, Ports Canada Police",12/31/2016 12:00:00 AM,,,,,,
"Millbrook, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2016 12:00:00 AM,0,0,0,,,
"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2017 12:00:00 AM,58,62,56,,,
"Annapolis Royal, Nova Scotia, municipal",12/31/2010 12:00:00 AM,0,0,0,,,
"Cape Breton Region, Nova Scotia, municipal",12/31/2016 12:00:00 AM,48,46,49,,,
"Indian Brook, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2017 12:00:00 AM,327,422,293,,,
"Truro, Nova Scotia, municipal",12/31/2010 12:00:00 AM,165,177,161,,,
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2013 12:00:00 AM,0,0,0,,,
"Meteghan (Clare), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2013 12:00:00 AM,43,32,47,,,
"Pictou County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2016 12:00:00 AM,44,54,40,,,
"Antigonish County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2013 12:00:00 AM,40,42,40,,,
"Enfield (East Hants), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2012 12:00:00 AM,69,80,65,,,
"Barrington, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2016 12:00:00 AM,51,72,43,,,
"Indian Brook, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2011 12:00:00 AM,487,688,413,,,
"Windsor, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2010 12:00:00 AM,118,99,125,,,
Nova Scotia,12/31/2016 12:00:00 AM,62,71,59,82,90,75
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2014 12:00:00 AM,0,0,0,,,
"Westville, Nova Scotia, municipal",12/31/2014 12:00:00 AM,41,41,41,,,
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2010 12:00:00 AM,0,0,0,,,
"Annapolis Royal, Nova Scotia, municipal",12/31/2016 12:00:00 AM,0,0,0,,,
"Indian Brook, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2016 12:00:00 AM,195,288,162,,,
"Barrington, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2012 12:00:00 AM,54,48,56,,,
"Halifax (Division Headquarters 2), Nova Scotia, Royal Canadian Mounted Police",12/31/2015 12:00:00 AM,0,0,0,,,
"Port Hawkesbury, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2017 12:00:00 AM,,,,,,
"Bridgewater, Nova Scotia, municipal",12/31/2013 12:00:00 AM,71,55,77,,,
"Enfield (East Hants), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2016 12:00:00 AM,48,36,52,,,
"Port Hawkesbury, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2016 12:00:00 AM,,,,,,
"Westville, Nova Scotia, municipal",12/31/2017 12:00:00 AM,43,36,45,,,
"Inverness County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2013 12:00:00 AM,65,67,64,,,
"Windsor, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2010 12:00:00 AM,46,38,49,,,
"Meteghan (Clare), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2016 12:00:00 AM,37,33,38,,,
"Millbrook, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2013 12:00:00 AM,0,0,0,,,
"Kentville, Nova Scotia, municipal",12/31/2010 12:00:00 AM,88,65,97,,,
"Yarmouth, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2012 12:00:00 AM,52,35,59,,,
"Victoria County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2012 12:00:00 AM,92,62,103,,,
"Trenton, Nova Scotia, municipal",12/31/2011 12:00:00 AM,,,,,,
"Queens County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2017 12:00:00 AM,59,49,63,,,
"Springhill, Nova Scotia, municipal",12/31/2017 12:00:00 AM,,,,,,
"Richmond County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2013 12:00:00 AM,75,156,45,,,
"Enfield (East Hants), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2013 12:00:00 AM,59,37,67,,,
"Halifax (Division Headquarters 1), Nova Scotia, Royal Canadian Mounted Police",12/31/2014 12:00:00 AM,0,0,0,,,
"New Glasgow Region, Nova Scotia, municipal",12/31/2017 12:00:00 AM,84,92,82,,,
"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2012 12:00:00 AM,92,73,98,,,
"Lunenburg County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2016 12:00:00 AM,49,38,53,,,
"Port of Halifax, Nova Scotia, Ports Canada Police",12/31/2015 12:00:00 AM,0,0,0,,,
"Antigonish, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2015 12:00:00 AM,96,88,99,,,
"Stellarton, Nova Scotia, municipal",12/31/2010 12:00:00 AM,70,21,88,,,
"Bridgewater, Nova Scotia, municipal",12/31/2017 12:00:00 AM,55,68,50,,,
"Windsor, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2016 12:00:00 AM,42,32,45,,,
"Barrington, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2011 12:00:00 AM,59,56,60,,,
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2015 12:00:00 AM,0,0,0,,,
"Bridgewater, Nova Scotia, municipal",12/31/2011 12:00:00 AM,93,86,96,,,
"Springhill, Nova Scotia, municipal",12/31/2012 12:00:00 AM,139,191,120,,,
"Oxford County, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2015 12:00:00 AM,,,,,,
"Queens County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2012 12:00:00 AM,74,52,82,,,
"Queens County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2013 12:00:00 AM,71,62,75,,,
"New Glasgow Region, Nova Scotia, municipal",12/31/2013 12:00:00 AM,89,92,88,,,
"Yarmouth, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2011 12:00:00 AM,150,131,157,,,
"Eskasoni, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2015 12:00:00 AM,248,352,209,,,
"Trenton, Nova Scotia, municipal",12/31/2017 12:00:00 AM,,,,,,
"Digby, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2010 12:00:00 AM,60,63,59,,,
"Stellarton, Nova Scotia, municipal",12/31/2013 12:00:00 AM,55,65,52,,,
"Richmond County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2016 12:00:00 AM,55,75,48,,,
"Kentville, Nova Scotia, municipal",12/31/2012 12:00:00 AM,100,72,110,,,
"Pictou, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2017 12:00:00 AM,74,74,73,,,
"Halifax (offshore), Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2011 12:00:00 AM,0,0,0,,,
"Yarmouth, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2011 12:00:00 AM,51,41,55,,,
"Inverness County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2017 12:00:00 AM,82,65,88,,,
"Canadian National Railway Police, Nova Scotia",12/31/2016 12:00:00 AM,0,0,0,,,
"Halifax Metropolitain Area, Nova Scotia, municipal",12/31/2011 12:00:00 AM,89,115,79,,,
"Kings County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2010 12:00:00 AM,75,59,81,,,
"Guysborough County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2013 12:00:00 AM,55,59,53,,,
"Yarmouth, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2017 12:00:00 AM,111,131,103,,,
"Cumberland County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2016 12:00:00 AM,65,56,69,,,
"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2016 12:00:00 AM,69,64,70,,,
"Parrsboro, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2012 12:00:00 AM,117,89,127,,,
"Windsor, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2015 12:00:00 AM,43,55,39,,,
"Digby, Nova Scotia, Royal Canadian Mounted Police, municipal",12/31/2011 12:00:00 AM,72,108,59,,,
